Designator,Mid X,Mid Y,Layer,Rotation
BC1,151.25,-82.75,top,-90
BC2,158.25,-84.75,top,-90
BMP388,155,-84.235,top,90
BR1,149,-86.25,top,90
BR2,159.5,-80,top,90
C1,209,-125,top,0
C2,220,-125,top,0
C3,146,-107.45,top,90
C4,148,-117.5,top,-90
C5,217.5,-76,top,0
C6,210,-73,top,90
DR1,226,-97,top,90
IData1,212.5,-89.5,top,90
ISafe1,220,-89.5,top,90
LM393DT1,79.9,-84.5,top,-90
MC1,78,-88.5,top,0
MC2,86,-80,top,-90
MC3,79.5,-92,top,0
MData1,198,-124.0625,top,90
MQ_7,120.89,-78.44,top,0
MR1,74.75,-90.5,top,-90
MR2,79.5,-80.5,top,180
MR3,86,-84,top,90
MR4,82.5,-89.5,top,-90
MSafe1,203.5,-124,top,90
P_MQ4,70.5,-86.25,top,-90
P_MQ7,70.5,-80.6,top,-90
R1,204.5,-128,top,0
R2,200,-108,top,90
R3,202.5,-108,top,90
R4,205,-108,top,90
R5,199,-128,top,0
R6,144,-97.5,top,180
R7,142,-122,top,180
R8,197.5,-108,top,90
R9,195,-108,top,90
R10,192.5,-108,top,90
R11,220,-93.5,top,-90
R12,212.5,-93.5875,top,-90
RR1,185.5,-120.5,top,180
RR2,147.5,-90,top,180
RR3,228.5,-77.5,top,0
SData1,147,-122,top,0
SSafe1,148,-97.5,top,0
X1,214.45,-125,top,180
X2,147,-113.2,top,90
X3,213.25,-73.5,top,-90
